Project_ID,Project_Phase,State,Region,Terrain_Type,Tower_Type,Substation_Type,Transmission_Length_KM,Budget_Crore,Material_Type,Lead_Time_Days,Tax_Percentage,Transportation_Cost,Historical_Consumption,Month,Year,Quantity_Required
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,43,13.83,13386.47,415.5,1,2023,1041
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,25,20.66,12409.3,324.97,1,2023,753
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,36,12.56,13070.78,940.34,1,2023,2275
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,58,12.23,11991.57,1439.92,1,2023,4680
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,42,21.74,10393.72,8.36,1,2023,25
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,17,20.6,12842.64,392.08,2,2023,1083
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,32,21.49,14403.94,337.01,2,2023,784
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,34,14.41,12858.82,835.2,2,2023,2143
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,22,12.34,14095.8,1355.27,2,2023,3624
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,20,14.08,12226.46,8.13,2,2023,26
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,32,19.75,14260.94,463.17,3,2023,1132
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,22,17.7,11970.01,355.34,3,2023,790
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,35,15.89,10604.82,905.2,3,2023,2062
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,59,13.41,13509.62,1244.73,3,2023,4369
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,21,16.23,11280.79,9.17,3,2023,27
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,19,21.26,12682.69,466.39,4,2023,1052
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,23,18.23,10930.67,247.63,4,2023,734
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,49,17.91,10623.28,819.6,4,2023,2176
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,49,13.2,13022.88,1656.47,4,2023,4664
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,53,12.4,13008.75,8.44,4,2023,29
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,27,14.02,14021.62,396.06,5,2023,1111
